color_0,color_1,color_2,color_3,source
#ab8f67,#160e0a,#e3d5a7,#6a412a,albums1
#b2b19b,#000000,#8a952c,#9da855,albums1
#20162a,#f0ebf0,#ba4b62,#623257,albums1
#050317,#dac79d,#58424f,#9f7f6d,albums1
#f7f5f6,#574f74,#aba1ba,#7f7595,albums1
#fcf7f2,#95211c,#cf5e4f,#e48d59,albums1
#e2e0e0,#252525,#968d8d,#544e4d,albums1
#281a18,#e8e6e7,#855952,#f5db3e,albums1
#8eafa7,#131512,#49443b,#617a75,albums1
#383e71,#c2d1d4,#292340,#718394,albums1
#24221b,#c59588,#876354,#4e4135,albums1
#212120,#d8d4cf,#996c74,#40444d,albums1
#fefefd,#020202,#81a355,#454745,albums1
#000000,#ede4ed,#706c94,#453058,albums1
#478c75,#000000,#171913,#245e58,albums1
#f6f1f4,#5b504e,#a29699,#171c18,albums1
#f6dbba,#63332e,#c6483e,#259291,albums1
#1b120e,#fcfcfa,#cfa269,#823c3b,albums1
#e7ebed,#ad454e,#424b7f,#c1b0b7,albums1
#655f5b,#f3f1e8,#d0cac0,#948f8a,albums1
#431518,#d8dbcf,#9e72a2,#c0a8aa,albums1
#2f3234,#d1d1d2,#5e5e5e,#94908f,albums1
#fdfaf4,#000000,#e7d7cf,#f3e9e0,albums1
#8c7d77,#1a0f0b,#bbac9a,#423f95,albums1
#bf6e49,#1d130e,#efe3cf,#71412d,albums1
#412b69,#fbfafb,#000000,#030206,albums1
#000000,#b7a8a7,#e8e4e3,#712929,albums1
#dbedcc,#0c2d07,#3e6e20,#72ad40,albums1
#080401,#eee374,#c32714,#5a2729,albums1
#eee4d8,#6a4d5d,#ccbbad,#9e8785,albums1
#d9b14a,#544534,#1a0f12,#988c73,albums1
#593517,#dfac41,#240e17,#9d702d,albums1
#7f5b47,#fcf9f5,#28201f,#d79571,albums1
#4d2f1e,#d5c987,#988b6d,#795c37,albums1
#290b05,#e37428,#f5d823,#8a4727,albums1
#191a1c,#cbc9ca,#7f7879,#3a393a,albums1
#f7f1e1,#6b655d,#b4aea2,#36332f,albums1
#2e2e3b,#baaca5,#666775,#e4edf0,albums1
#24180e,#e8d8c4,#6d533c,#b0906f,albums1
#030303,#80888c,#282c2f,#e4eaec,albums1
#0c88bd,#04050b,#074d6d,#ace7f7,albums1
#1a172c,#f6f4f5,#5f475a,#af8994,albums1
#251a16,#f2ddac,#d06734,#6c4029,albums1
#a7774e,#000000,#50392b,#72523a,albums1
#2c3134,#d3d5de,#607587,#6fa9d2,albums1
#f7f940,#2b4c31,#8e9b70,#f2f6ee,albums1
#a3aec8,#000000,#4f6daf,#6a88be,albums1
#282226,#f1eab6,#8e5375,#5794a8,albums1
#e4a1ae,#000000,#a01f27,#ca224e,albums1
#000000,#eeebe4,#625751,#070707,albums1
#2b221b,#c1c0a1,#5a4f3b,#918863,albums1
#f0eeeb,#202030,#c1a492,#6f6161,albums1
#374664,#cedae2,#a0a89e,#4c70ac,albums1
#0e0a08,#c5b09f,#826b5a,#332a27,albums1
#bebab8,#282021,#96786f,#554749,albums1
#6f5142,#f3e9e2,#b17b62,#2d1a1c,albums1
#595959,#f4f4f4,#171717,#a1a1a1,albums1
#272726,#e5dfda,#91897e,#56534e,albums1
#3c3e3d,#f1f0ed,#6f726f,#b3b5b1,albums1
#1c0503,#ddb976,#794923,#431e12,albums1
#54d2ec,#113ab6,#2275e4,#26b2f1,albums1
#1e0102,#FFFFFF,#550203,#dc0614,albums1
#c7c6c0,#151515,#f4f3f0,#595957,albums1
#494949,#f8f8f8,#0f1010,#959595,albums1
#cfcec1,#010101,#313329,#737564,albums1
#2f1b1c,#ef9e4c,#c44a32,#842e26,albums1
#797da7,#0d0c13,#333248,#dedbbc,albums1
#dde0e1,#2a2b33,#666b76,#9da3ac,albums1
#4e2514,#bcad92,#856550,#f1edb7,albums1
#352a27,#d6d8c7,#91816a,#5e4d41,albums1
#3a3c36,#c0d273,#848684,#000000,albums1
#c32023,#f9f5f2,#000000,#de7d79,albums1
#f1e6c2,#292113,#675e4c,#ada590,albums1
#2a2ccf,#c4c4c4,#7fc018,#f51816,albums1
#f5e611,#000000,#8d391d,#12f2d5,albums1
#939598,#18191b,#454547,#6b6b6d,albums1
#253f26,#dcc18a,#997941,#162d17,albums1
#eac78d,#25191a,#48649e,#a6887a,albums1
#979797,#040404,#f9f9f9,#3e3e3e,albums1
#fdfcf8,#44130d,#d04826,#f6a979,albums1
#f6ede6,#9d2b2f,#be615c,#da9c9a,albums1
#183ba1,#f3f7f8,#84a2cc,#291a2a,albums1
#9b9a94,#000000,#83817c,#625542,albums1
#44565d,#ced4d1,#282c2a,#798f99,albums1
#4c5d6c,#d1d6d3,#919da4,#0d2840,albums1
#bc8372,#331218,#f1d9c8,#733a37,albums1
#1e0d24,#ce8c80,#95535d,#452064,albums1
#ece5df,#1e1917,#c91533,#908075,albums1
#f1e9d5,#1e1e1b,#c24043,#704c43,albums1
#de3923,#0a0403,#2d0c08,#6f1912,albums1
#3db5d2,#17181a,#e6dcc7,#d79c84,albums1
#a7a3a0,#342f31,#5d5f5c,#c4464a,albums1
#000000,#FFFFFF,#535353,#040404,albums1
#fdfdfd,#000000,#ababab,#848484,albums1
#e6d9cb,#100503,#d71e16,#4a1f15,albums1
#fcfcfb,#252426,#6b6161,#b0afaf,albums1
#5a63c8,#fafafa,#888ac2,#502e4f,albums1
#2e2728,#d8d1bc,#b16f63,#5b4646,albums1
#f5f8f5,#000000,#c1c8c2,#a4a7a0,albums1
#9fc0c7,#0a0e12,#3d616a,#a92516,albums1
#d34147,#050102,#f6e6ed,#6c262d,albums1
#734848,#ebe3d9,#a38b86,#3b2f31,albums1
#a8afb5,#1f1e26,#8b8b94,#62595c,albums1
#0e0e0d,#c8c7bd,#45443c,#89877d,albums1
#363b3d,#e1c283,#bb8c55,#836041,albums1
#000000,#FFFFFF,#4d4d4d,#0f0f0f,albums1
#fcf2f0,#cb181f,#e30c16,#f69699,albums1
#070b0d,#e2e6e8,#868d8f,#3f4547,albums1
#85eabc,#000000,#57997b,#72c6a1,albums1
#110f0d,#d2c9a0,#96824e,#49472f,albums1
#743950,#f7d4aa,#381036,#cc867d,albums1
#9a100b,#fab84b,#e04d12,#32060d,albums1
#133c4c,#c2cdb7,#020f24,#617d7d,albums1
#eae89c,#161610,#f7fbf8,#b6ad7a,albums1
#464646,#dcdcdc,#ababab,#7a7a7a,albums1
#aaaa9f,#0d288b,#8a8b81,#6d6f69,albums1
#3b312e,#dedcd1,#cb4739,#8e7d76,albums1
#150703,#e1c498,#a36a42,#512a19,albums1
#653422,#fbfbfa,#a7623f,#d68759,albums1
#b4bbc9,#3f4049,#848897,#5e6170,albums1
#5b5553,#e3eaf7,#adb9c6,#8b8182,albums1
#edf1f0,#000000,#6d7070,#070707,albums1
#d6d9db,#020303,#527ca1,#242627,albums1
#0e3d34,#FFFFFF,#0f5846,#236e6f,albums1
#232418,#FFFFFF,#674e39,#3d3627,albums1
#c9bee4,#000000,#ac4765,#cf98ba,albums1
#040304,#e2dab9,#8d675e,#3d2c22,albums1
#f5f6f1,#050607,#495048,#a2a9a0,albums1
#424239,#cbcaca,#7e7064,#272726,albums1
#211f18,#b3ad99,#767365,#444136,albums1
#a2ab91,#110c07,#4b3f33,#726e5b,albums1
#582e45,#f5d3da,#020206,#bd7384,albums1
#e4dbdc,#55465b,#fefefe,#9d919c,albums1
#fafbfb,#474747,#6e8ea9,#bec4c7,albums1
#343a3a,#c4ac86,#907b5f,#ece7d8,albums1
#000000,#f7f7f7,#767676,#0c0c0c,albums1
#e1c07a,#2f2a1f,#7c7148,#b8316f,albums1
#07060a,#968c92,#c73a20,#4d4044,albums1
#020b33,#fcfcfc,#666576,#e68c56,albums1
#dddfd4,#383a35,#707069,#a4a08d,albums1
#f4d959,#1a1919,#633f1c,#b27619,albums1
#dbab66,#452623,#7b392e,#b2663c,albums1
#f5e1c4,#635046,#ad9381,#33231e,albums1
#1c3063,#b1b3c3,#646e8c,#dad7df,albums1
#fdf7d5,#000000,#e58907,#f8d33f,albums1
#231938,#bab3c9,#535585,#36336d,albums1
#d0d5bd,#020203,#4e4f5d,#e35835,albums1
#135c2d,#ecedf5,#05120e,#5da38b,albums1
#623505,#d4dfdb,#b58326,#3d0e01,albums1
#a6a79f,#1f271f,#f5f5ef,#585d55,albums1
#e1e7eb,#000000,#54758a,#8aa2b0,albums1
#d4d4d6,#3d4244,#718ba7,#536377,albums1
#151515,#ababab,#737373,#464646,albums1
#faf8f3,#252125,#bbbe6b,#ca5241,albums1
#d0faf2,#405a7d,#171513,#43abd0,albums1
#d2ccd1,#221b20,#8e7f75,#594b48,albums1
#85a495,#1b201d,#d0d6aa,#67584b,albums1
#36341f,#d5ccbd,#797359,#060602,albums1
#844845,#ebe6e4,#401c25,#a3a28b,albums1
#374736,#edf6ee,#8ea491,#010201,albums1
#bca33b,#000000,#af8f2b,#977c27,albums1
#bbbbb9,#252420,#ab5e4e,#423c3e,albums1
#97654b,#f8f7f5,#633330,#cba570,albums1
#e2dedb,#050506,#524f4f,#000000,albums1
#80455e,#ebeded,#0f0c0e,#a9a058,albums1
#aea59c,#423732,#ededea,#716458,albums1
#5b2021,#fbfcf9,#11120e,#847270,albums1
#1d1d19,#b2b0be,#617496,#464638,albums1
#e6ded7,#524e4a,#bd7f7a,#191713,albums1
#333663,#cad5e6,#737faa,#15141d,albums1
#e2e5e1,#0a0c08,#000000,#4c5645,albums1
#081014,#e2ded2,#80796e,#2f3539,albums1
#85939d,#1a1b1d,#4c4d50,#dde4e8,albums1
#acd8e3,#000000,#577fab,#0e2962,albums1
#262c2f,#c3c9a2,#4f584a,#838a70,albums1
#da8f96,#5e1006,#f3cba7,#a1443a,albums1
#d40c0c,#fbf6f3,#f90b09,#f49e9c,albums1
#3e3525,#b7b398,#ebe9b1,#7f735d,albums1
#cbab96,#3a3e5e,#887d82,#f6dcaf,albums1
#754422,#faf7f3,#d8ae80,#ae7644,albums1
#050101,#8f6f59,#472a1b,#e4ddd3,albums1
#debfe3,#64268d,#8f449c,#b176ba,albums1
#090505,#b26355,#502826,#e4c7ae,albums1
#d0cfce,#0e0806,#626966,#2e1615,albums1
#4e4f4e,#e6e5e7,#999494,#0c090c,albums1
#816964,#f8f6f4,#513b24,#dfa04a,albums1
#f8f8f8,#484848,#090909,#8b8b8b,albums1
#37322e,#afaba4,#8d5e57,#d8d4cb,albums1
#3a7022,#f1f2e4,#081308,#c9d654,albums1
#242227,#d0c6ac,#807d7e,#4f4a50,albums1
#eae7e0,#3f1d1b,#82574a,#af9582,albums1
#572524,#d9d2b1,#b23032,#181710,albums1
#3b3407,#dbbb7d,#77571e,#ac7939,albums1
#ae9994,#2a1e2c,#d4d0c7,#775e63,albums1
#646163,#f1f1f1,#0c090a,#bcbabb,albums1
#231c18,#e7d6a8,#9a9978,#424959,albums1
#979797,#242424,#e7e7e7,#505050,albums1
#d2d9d8,#4b5e5f,#90a3a4,#0d1618,albums1
#f4f5f0,#1e2222,#747755,#384737,albums1
#5f5b57,#f5f5f4,#d0ceca,#9e9d99,albums1
#ab8d64,#2a2117,#d9c7ac,#6a533e,albums1
#c4c5ab,#182822,#fbfcfb,#787f80,albums1
#b594b0,#321c43,#ece7ed,#814a72,albums1
#f9f9f9,#6c4033,#1a110f,#b68659,albums1
#000000,#aeaeb0,#464647,#030303,albums1
#cde6ed,#394628,#6c814f,#11131b,albums1
#f3f6f3,#32312b,#81857f,#bac1bc,albums1
#382e23,#dfc37c,#714f3f,#9d886c,albums1
#262119,#a4b1c8,#4a4135,#6e6d91,albums1
#cdc58f,#261d12,#867c6d,#504536,albums1
#13171a,#979897,#fafafa,#4c4f50,albums1
#f2d71e,#18150d,#84733d,#ededec,albums1
#7e0b04,#fbf2ef,#f02c21,#100302,albums1
#eff4ef,#3b4943,#c1cec3,#7b8e81,albums1
#0f152f,#ecf0f4,#7885a0,#444f6e,albums1
#666968,#f3f2eb,#cdba9f,#444b4e,albums1
#110b0a,#af9577,#efe7ab,#624836,albums1
#392025,#e5d6ca,#b67a67,#853a36,albums1
#3d404b,#f7d1aa,#d18178,#18191f,albums1
#5c522e,#dad6bf,#928356,#12130e,albums1
#f2f1f0,#151312,#545251,#a8a7a5,albums1
#285f5c,#dbdaad,#c07063,#75635d,albums1
#23150e,#d5c1a3,#4b3928,#8b7358,albums1
#dfc4b1,#3e2e1c,#8d725c,#040100,albums1
#190b06,#f2ba50,#b36316,#622710,albums1
#fbfbf9,#61705d,#b1b39f,#26322a,albums1
#3a4345,#d7e0de,#0c1216,#869493,albums1
#8d8079,#18120e,#4c4643,#d5cfcc,albums1
#c2dad2,#28241b,#808a77,#545040,albums1
#030202,#bc7952,#483731,#e8e2d6,albums1
#fefefe,#151414,#535252,#ababaa,albums1
#c5dce4,#0a1317,#21474e,#5f8f9b,albums1
#382b1e,#fbfbfa,#a57255,#dcb8a4,albums1
#8cc7cc,#382f2b,#dd513e,#eeede8,albums1
#e22341,#000000,#1a0807,#9b1c2d,albums1
#bdbdbc,#000000,#8e8c89,#6d543a,albums1
#040003,#e2e3e4,#878788,#333334,albums1
#bbb8a3,#22271b,#506848,#f8f5f1,albums1
#616e79,#f3f5ed,#a7afa7,#272e39,albums1
#352e1d,#fdfaf5,#9c7149,#cbb285,albums1
#e9efef,#030609,#565d5e,#c2cbcb,albums1
#000000,#e9d8c4,#7b6a60,#242830,albums1
#02101b,#7994a2,#dee3e8,#3f5d69,albums1
#f9e141,#9e2b89,#76619a,#ce6a94,albums1
#1d1c17,#c9b9a5,#a96348,#553f34,albums1
#f2f5f7,#2e5b8b,#16171a,#6ea7d4,albums1
#573e9e,#d6e0ed,#9180ba,#492d51,albums1
#050403,#b6adad,#7c7475,#683d3b,albums1
#868686,#080808,#3a3a3a,#c6c6c6,albums1
#504f48,#e7d688,#8d8b80,#171716,albums1
#bfb9c6,#060d19,#6f6a7d,#2d3345,albums1
#0d1414,#f9f8f8,#c36d66,#524c4b,albums1
#131211,#e7e8b0,#94945a,#30302e,albums1
#36393a,#bbcac9,#747a7b,#0e1011,albums1
#0c0303,#faf4f3,#c0362d,#561715,albums1
#191011,#f1c7be,#d96966,#8b1a34,albums1
#2b2620,#f1ceb7,#db5e32,#4f4339,albums1
#070a11,#df7a46,#0d1475,#72332a,albums1
#3e150e,#e2b6a3,#c25b30,#7b301c,albums1
#000000,#ececec,#757575,#090909,albums1
#111111,#bfbfbf,#777777,#363636,albums1
#0d0c0c,#d5d5d6,#6e6c6d,#000000,albums1
#a29d83,#432816,#e1ceac,#6f5f4a,albums1
#fcfcfb,#80405a,#cecbc5,#728987,albums1
#0e100f,#fcfcfc,#a2a3a2,#505251,albums1
#d2c2d1,#3b376d,#9f4d7e,#217c72,albums1
#2388d0,#1b1725,#e5d8bb,#d2424b,albums1
#2c241a,#f3efe3,#704839,#c98b56,albums1
#483e3c,#afacaa,#836d6b,#1d1b22,albums1
#3e4b50,#dfd2c2,#9e8878,#131416,albums1
#f1e18c,#2c2429,#e65437,#43a8d3,albums1
#a09a8c,#121311,#52504c,#e0e0d1,albums1
#f4f0f3,#503133,#b8616f,#d6cf67,albums1
#faf5ec,#493f3e,#857674,#c5b0a7,albums1
#662846,#bba88f,#19242b,#3f5f74,albums1
#fcfbfa,#7d4944,#bd9e95,#050404,albums1
#020202,#878485,#eae5e2,#313233,albums1
#1d2e2e,#e8f2e6,#03161b,#7f8a84,albums1
#000000,#f4f4f4,#7e7e7e,#0d0d0d,albums1
#060706,#53a76a,#274c30,#ecf1ed,albums1
#0d0618,#5db1e5,#453580,#bc69cb,albums1
#60666a,#ecf1e7,#1d2150,#9cb089,albums1
#fcfdfc,#030303,#86a45d,#454744,albums1
#641c04,#efbf22,#a04202,#d58e09,albums1
#10070c,#e48333,#fce635,#7b361f,albums1
#100f19,#c6a670,#775631,#251d70,albums1
